trade_id,counterparty_id,counterparty_name,isin,trade_date,settlement_date,asset_class,notional_eur,price,quantity,bid,ask,mid_price,volume_j,volatility_30d,credit_rating,default_flag,sector,country_risk,trader_id
TRD000223,CP025,Pereira,FR0000000079,2024-06-18,2024-06-20,equity,710243.05,176.4579,4025,176.08,176.947,176.5135,378262,82.8,BBB,0,Industrials,51.6,TR008
TRD001961,CP023,Guillon Poulain et Fils,FR0000000056,2024-03-15,2024-03-18,bond,4424481.37,107.3252,41225,107.287,107.3806,107.3338,643077,42.5,D,1,Utilities,42.9,TR010
TRD002596,CP007,Wagner SARL,FR0000000120,2024-06-10,2024-06-12,fx,25758.88,0.9466,27212,0.943921,0.9478,0.9459,2864909,,BBB,0,Technology,59.9,TR014
TRD007805,CP032,Tessier,FR0000000114,2024-04-16,2024-04-18,derivative,1377539.92,34.4816,39950,34.4462,34.5887,34.5174,3907089,48.11,,0,Technology,21.4,TR022
TRD000969,CP032,Tessier,FR0000000002,2024-02-19,2024-02-21,DERIV,529208.98,44.7837,11817,44.7217,44.8466,44.7841,3727817,10.24,A,0,Technology,22.1,TR011
TRD006484,CP038,Maréchal,FR0000000025,2024-03-11,2024-03-13,FI,2865969.25,85.1219,33669,85.0764,85.1918,85.1341,1492301,57.27,AA,0,Technology,37.5,TR003
TRD000677,CP002,Maillot,FR0000000032,2024-02-06,2024-02-08,DERIV,1415456.28,47.6328,29716,47.5776,47.7623,47.67,3475557,54.47,A,0,Financials,40.3,TR022
TRD000999,CP013,Berger,FR0000000047,2024-01-15,2024-01-17,equity,1363053.3,127.2811,10709,127.22,127.3031,152.3485,2894857,36.74,AA,0,Healthcare,10.3,TR007
TRD007532,CP036,Chevalier Lamy et Fils,FR0000000128,2024-01-24,2024-01-22,equity,21351511.58,671.9806,31774,671.76,673.4824,672.6212,1258072,36.42,BBB,0,Financials,68.3,TR007
TRD004117,CP024,Moreno Godard S.A.,FR0000000118,2024-06-14,2024-06-17,fx,32334.84,1.0326,31314,1.03088,1.0339,1.0324,2596901,,BB,0,Consumer Discretionary,23.2,TR016
TRD003741,CP018,Moreau SA,FR0000000022,2024-05-01,2024-05-03,derivative,566656.82,38.3576,14773,38.3418,38.377,38.3594,550143,16.99,A,0,Healthcare,10.3,TR021
TRD007544,CP003,Breton,FR0000000147,2024-02-29,2024-03-04,equity,6746519.54,465.3093,14499,465.06,465.9752,465.5176,2279766,,A,0,Industrials,18.1,TR021
TRD007282,CP007,Wagner SARL,FR0000000071,2024-04-30,2024-05-02,fx,6647.1,1.2314,5398,1.229931,1.2327,1.2313,3917698,52.83,BBB,0,Technology,57.5,TR013
TRD002509,CP045,Leclerc S.A.S.,FR0000000080,2024-05-20,2024-05-22,BOND,1414228.3,104.7887,13496,104.6494,104.8199,104.7347,1966404,64.45,AA,0,Financials,17.9,TR007
TRD000361,CP041,Jacquot S.A.R.L.,FR0000000062,2024-04-19,2024-04-22,Derivative,397445.86,14.6335,27160,14.5915,14.6476,14.6196,935736,20.04,B,1,Industrials,7.8,TR021
TRD002785,CP032,Tessier,FR0000000124,2024-04-18,2024-04-22,derivative,166763.62,9.5479,17466,9.5367,9.5683,9.5525,3841971,22.36,,0,Technology,25.3,TR007
TRD000329,CP003,Breton,FR0000000136,2024-04-05,2024-04-08,fx,24168.43,0.9635,25084,0.96064,0.9646,0.9626,4842851,33.04,A,0,Industrials,18.2,TR004
TRD001336,CP045,Leclerc S.A.S.,FR0000000118,2024-06-25,2024-06-27,fx,44863.09,1.1271,39804,1.126587,1.1305,1.1285,3219330,66.71,,0,Financials,24.5,TR013
TRD003947,CP007,Wagner SARL,FR0000000115,2024-06-24,2024-06-26,Derivatives,362616.12,20.9266,17328,20.8903,20.9542,20.9222,2535446,70.06,BBB,0,Technology,53.5,TR009
TRD000017,CP002,Maillot,FR0000000046,2024-04-16,2024-04-18,OPT,1896447.58,39.2867,48272,39.2281,39.3204,39.2742,916771,69.86,A,1,Financials,36.4,TR013
TRD008114,CP029,Le Goff,FR0000000080,2024-06-25,2024-06-27,derivative,524317.54,19.3618,27080,19.35,19.3789,19.3645,2374103,19.09,,0,Technology,38.1,TR018
TRD008344,CP047,Bernard S.A.,FR0000000048,2024-05-03,2024-05-06,FI,2308021.03,91.1001,25335,90.9504,91.3602,91.1553,336120,76.0,B,0,Industrials,15.9,TR023
TRD005010,CP007,Wagner SARL,FR0000000135,2024-01-22,2024-01-24,BOND,2546983.98,88.1767,28885,87.8877,88.3002,88.094,2729264,35.22,BBB,0,Technology,57.9,TR022
TRD003683,CP046,Boucher Charpentier SARL,FR0000000068,2024-06-21,2024-06-24,equity,31550007.1,640.2193,49280,639.85,642.3179,641.0839,611520,74.94,,0,Healthcare,13.8,TR005
TRD004263,CP044,Reynaud,FR0000000033,2024-05-20,2024-05-22,derivative,171925.98,5.0171,34268,5.0145,5.0248,5.0197,735473,,BBB,0,Technology,46.1,TR018
TRD003503,CP033,Dupuy,FR0000000137,2024-06-26,2024-06-28,Fixed Income,2753297.73,86.054,31995,86.0253,86.136,86.0806,4234988,10.08,CCC,1,Consumer Discretionary,7.6,TR010
TRD006886,CP021,Bonnet SA,FR0000000079,2024-04-15,2024-04-17,derivative,392101.73,35.7203,10977,35.6377,35.7748,35.7062,591597,55.94,BB,0,Financials,56.5,TR015
TRD006314,CP023,Guillon Poulain et Fils,FR0000000133,2024-03-07,2024-03-11,Equities,27025246.84,790.004,34209,788.34,792.1059,790.223,1812460,40.29,D,1,Utilities,34.0,TR014
TRD005175,CP032,Tessier,FR0000000053,2024-02-22,2024-02-26,bond,383298.26,109.42,3503,111.8352,109.6168,109.353,2413754,46.64,A,0,Technology,23.8,TR018
TRD006315,CP005,Duhamel,FR0000000038,2024-03-22,2024-03-25,bond,2211078.73,85.3303,25912,85.2509,85.4551,85.353,3749598,53.24,,0,Healthcare,68.8,TR006
TRD004146,CP033,Dupuy,FR0000000123,2024-01-23,2024-01-25,FI,2269984.65,91.3585,24847,91.3301,91.3875,91.3588,1405257,24.13,CCC,0,Consumer Discretionary,17.0,TR007
TRD004253,CP007,Wagner SARL,FR0000000125,2024-04-18,2024-04-15,fx,42294.95,1.3622,31049,1.361522,1.3663,1.3639,4801029,50.3,BBB,0,Technology,50.2,TR020
TRD004167,CP028,Maurice,FR0000000042,2024-05-01,2024-05-03,fx,22738.84,0.805,28247,0.804618,0.8057,0.8052,4490139,27.73,,1,Consumer Discretionary,20.1,TR014
TRD001935,CP006,Moulin,FR0000000076,2024-01-12,2024-01-15,derivative,149610.28,6.014,24877,6.006,6.015,6.0105,1520223,45.74,,0,Energy,27.4,TR009
TRD002813,CP047,Bernard S.A.,FR0000000128,2024-05-20,2024-05-22,derivative,58962.8,3.8223,15426,3.8199,3.8247,3.8223,4209084,55.22,B,0,Industrials,16.0,TR016
TRD006831,CP031,Lebon et Fils,FR0000000040,2024-04-22,2024-04-24,bond,3665738.64,105.4555,34761,105.1034,105.5255,105.3144,4108677,13.41,BBB,0,Utilities,37.9,TR013
TRD003427,CP038,Maréchal,FR0000000089,2024-03-11,2024-03-13,bond,233880.83,90.5462,2583,90.4345,90.6274,90.5309,3394933,11.62,AA,0,Technology,35.1,TR008
TRD004254,CP041,Jacquot S.A.R.L.,FR0000000129,2024-06-14,2024-06-17,derivative,790513.38,20.1641,39204,20.1414,20.1895,20.1654,2955215,50.94,,0,Industrials,8.3,TR013
TRD008493,CP007,Wagner SARL,FR0000000033,2024-02-29,2024-03-04,BOND,611277.09,95.096,6428,94.8235,95.1387,94.9811,1810090,14.82,BBB,0,Technology,55.9,TR004
TRD007294,CP047,Bernard S.A.,FR0000000098,2024-02-12,2024-02-14,Bond,1932413.33,88.3066,21883,88.0783,88.4379,88.2581,3682677,81.15,B,0,Industrials,23.5,TR014
TRD001803,CP042,Marion S.A.R.L.,FR0000000023,2024-05-16,2024-05-20,Fx,7900.08,0.9864,8009,0.986187,0.9867,0.9864,1002083,5.88,A,0,Consumer Discretionary,52.4,TR006
TRD000700,CP039,Laroche Gilbert S.A.R.L.,FR0000000142,2024-02-05,2024-02-07,bond,2855534.68,102.8762,27757,102.7535,102.9331,102.8433,1380022,10.95,,0,Utilities,68.9,TR013
TRD006654,CP013,Berger,FR0000000135,2024-05-27,2024-05-29,fx,31608.03,1.1639,27157,1.16089,1.1643,1.1626,4595526,65.36,,0,Healthcare,15.8,TR015
TRD001675,CP047,Bernard S.A.,FR0000000141,2024-06-24,2024-06-26,derivative,85217.61,39.4161,2162,39.3267,39.4287,39.3777,1142071,,B,0,Industrials,20.0,TR007
TRD007941,CP028,Maurice,FR0000000078,2024-06-17,2024-06-19,Fixed Income,4483931.04,103.7947,43200,103.5968,103.869,103.7329,595788,41.29,B,0,Consumer Discretionary,12.0,TR008
TRD004193,CP023,Guillon Poulain et Fils,FR0000000046,2024-02-27,2024-02-29,equity,13807558.06,541.4941,25499,540.19,541.6663,540.9281,1215163,,D,1,Utilities,43.2,TR007
TRD006714,CP035,Hernandez SARL,FR0000000020,2024-01-25,2024-01-29,fx,24207.9,0.9019,26841,0.899976,0.9041,0.902,1690738,,CCC,1,Industrials,44.4,TR009
TRD008106,CP006,Moulin,FR0000000012,2024-06-03,2024-06-05,EQ,5408737.58,455.166,11883,454.48,455.6573,455.0687,408450,25.58,BBB,0,Energy,19.1,TR013
TRD007269,CP024,Moreno Godard S.A.,FR0000000107,2024-04-22,2024-04-24,fx,49682.1,1.4485,34299,1.445441,1.4521,1.4488,2805294,75.05,,0,Consumer Discretionary,21.3,TR012
TRD004863,CP001,Ruiz SA,FR0000000110,2024-05-20,2024-05-22,bond,2337751.66,102.2907,22854,102.1844,102.4749,102.3297,3272915,5.54,,0,Technology,13.4,TR012
TRD003197,CP028,Maurice,FR0000000056,2024-03-11,2024-03-13,fx,34243.95,1.0896,31428,1.087764,1.0912,1.9332,153177,72.38,B,0,Consumer Discretionary,13.8,TR009
TRD004756,CP028,Maurice,FR0000000013,2024-05-02,2024-05-06,derivative,265272.49,36.7719,7214,36.7658,36.7938,36.7798,3553365,,B,0,Consumer Discretionary,17.1,TR003
TRD000718,CP032,Tessier,FR0000000141,2024-04-18,2024-04-22,FX,35820.88,1.3617,26306,1.359874,1.3649,1.3624,3271897,45.15,A,0,Technology,27.0,TR005
TRD006962,CP044,Reynaud,FR0000000044,2024-05-21,2024-05-23,bond,3562102.16,102.2212,34847,102.1047,102.2774,102.191,4461444,59.95,BBB,0,Technology,43.6,TR016
TRD001147,CP036,Chevalier Lamy et Fils,FR0000000082,2024-01-08,2024-01-10,bond,3215948.69,90.3331,35601,90.1553,90.5924,90.3739,2272652,,BBB,0,Financials,75.9,TR016
TRD000043,CP036,Chevalier Lamy et Fils,FR0000000075,2024-01-15,2024-01-17,bond,94101.45,104.2098,903,104.1361,104.5409,129.9468,1556554,50.93,BBB,0,Financials,71.1,TR002
TRD002706,CP019,Pelletier et Fils,FR0000000059,2024-06-20,2024-06-24,Derivatives,804957.46,19.6288,41009,19.5536,19.6437,19.5986,425968,79.07,A,0,Real Estate,74.7,TR024
TRD006703,CP002,Maillot,FR0000000124,2024-04-01,2024-04-03,derivative,509978.33,19.7712,25794,19.7475,19.8359,19.7917,2268028,63.02,,0,Financials,36.0,TR003
TRD005702,CP023,Guillon Poulain et Fils,FR0000000025,2024-04-15,2024-04-17,equity,6883418.27,287.204,23967,286.82,288.1431,287.4815,439895,,D,0,Utilities,34.7,TR014
TRD000366,CP044,Reynaud,FR0000000080,2024-04-10,2024-04-12,derivative,302414.86,8.3732,36117,8.3513,8.3828,8.367,1677014,,BBB,0,Technology,39.8,TR012
TRD001701,CP030,Marie,FR0000000047,2024-04-16,2024-04-18,OPT,344972.25,45.9106,7514,45.8826,45.9833,45.9329,3731197,74.04,A,0,Technology,54.6,TR014
TRD003459,CP014,Fouquet SA,FR0000000090,2024-04-22,2024-04-24,bond,2440902.88,227.48,26461,92.2293,92.3612,92.2952,2629839,61.82,B,0,Healthcare,41.5,TR019
TRD006209,CP039,Laroche Gilbert S.A.R.L.,FR0000000102,2024-01-25,2024-01-29,bond,5476827.27,112.0418,48882,111.7734,112.2146,111.994,1626652,47.63,BBB,0,Utilities,67.8,TR015
TRD000683,CP036,Chevalier Lamy et Fils,FR0000000112,2024-06-14,2024-06-17,BOND,544922.78,91.7224,5941,91.7065,91.8001,91.7533,983969,32.22,BBB,0,Financials,72.3,TR019
TRD003907,CP005,Duhamel,FR0000000007,2024-05-27,2024-05-29,bond,318262.54,90.3385,3523,90.2784,90.6043,90.4413,576810,23.36,,0,Healthcare,71.3,TR002
TRD002468,CP037,Guichard Rey S.A.S.,FR0000000127,2024-01-03,2024-01-05,bond,3183025.69,89.4033,35603,89.2642,89.6506,89.4574,2842539,72.08,BBB,0,Real Estate,38.7,TR024
TRD003211,CP001,Ruiz SA,FR0000000105,2024-05-27,2024-05-29,FOREX,52459.36,1.2199,43003,1.217978,1.2203,1.2191,2142101,9.28,B,1,Technology,13.7,TR001
TRD003104,CP046,Boucher Charpentier SARL,FR0000000033,2024-04-01,2024-04-03,Derivatives,929820.65,40.9054,22731,40.8976,40.9546,40.9261,546417,14.2,BB,0,Healthcare,11.4,TR006
TRD007480,CP041,Jacquot S.A.R.L.,FR0000000127,2024-04-23,2024-04-25,derivative,738575.51,21.7292,33990,21.711,21.7608,21.7359,3268123,61.02,,0,Industrials,11.2,TR011
TRD003098,CP046,Boucher Charpentier SARL,FR0000000017,2024-02-05,2024-02-07,equity,8706853.47,574.7098,15150,574.19,575.3435,574.7668,2365391,81.23,BB,0,Healthcare,13.5,TR015
TRD001936,CP045,Leclerc S.A.S.,FR0000000132,2024-01-12,2024-01-15,Fx,56378.05,1.3448,41923,1.344621,1.3459,1.3453,504881,83.44,AA,0,Financials,21.9,TR022
TRD004706,CP010,Allard,FR0000000106,2024-03-25,2024-03-27,fx,9613.06,1.3063,7359,1.301789,1.3073,1.3045,3612193,45.08,BBB,0,Financials,58.6,TR014
TRD004517,CP040,Bailly,FR0000000110,2024-03-11,2024-03-13,derivative,481969.31,12.8683,37454,12.862,12.8981,12.8801,2442948,25.99,,1,Technology,10.8,TR022
TRD008152,CP028,Maurice,FR0000000109,2024-06-03,2024-06-05,equity,4779124.37,331.4693,14418,331.16,331.9953,331.5777,4674855,,B,0,Consumer Discretionary,17.0,TR005
TRD000581,CP041,Jacquot S.A.R.L.,FR0000000134,2024-01-16,2024-01-18,derivative,427310.02,21.3186,20044,21.2556,21.351,21.3033,4437437,62.72,,0,Industrials,10.2,TR020
TRD005365,CP043,Noël S.A.R.L.,FR0000000078,2024-05-14,2024-05-16,derivative,463824.48,12.9066,35937,12.8684,12.9169,12.8926,1622102,,A,0,Healthcare,39.9,TR024
TRD007313,CP010,Allard,FR0000000144,2024-01-03,2024-01-05,derivative,628658.9,18.7112,33598,18.6962,18.7174,18.7068,2152208,6.62,BBB,0,Financials,51.5,TR013
TRD003646,CP045,Leclerc S.A.S.,FR0000000115,2024-01-19,2024-01-22,EQUITY,22552610.82,517.6654,43566,517.55,517.8733,517.7116,2682234,10.18,AA,1,Financials,27.7,TR023
TRD004597,CP020,Foucher,FR0000000076,2024-06-14,2024-06-11,derivative,934639.83,36.4382,25650,36.4247,36.4835,36.4541,4888323,44.84,AAA,0,Industrials,35.6,TR010
TRD000657,CP002,Maillot,FR0000000115,2024-03-27,2024-03-29,fx,53682.48,1.16,46278,1.157718,1.1622,1.16,1050658,84.07,,0,Financials,36.0,TR010
TRD004775,CP023,Guillon Poulain et Fils,FR0000000103,2024-03-26,2024-03-28,EQ,18106183.91,718.699,25193,716.78,720.1059,718.4429,4148857,29.59,D,1,Utilities,34.3,TR014
TRD000347,CP031,Lebon et Fils,FR0000000088,2024-03-11,2024-03-13,derivative,474868.71,9.6137,49395,9.6037,9.6268,9.6152,1519020,34.78,BBB,0,Utilities,42.2,TR019
TRD008622,CP018,Moreau SA,FR0000000045,2024-03-18,2024-03-20,bond,4530115.27,92.9426,48741,92.9173,93.0333,92.9753,4071059,22.19,,0,Healthcare,13.0,TR002
TRD003732,CP029,Le Goff,FR0000000129,2024-06-10,2024-06-12,bond,2944942.04,106.2159,27726,106.1704,106.2853,106.2279,4680709,33.84,BBB,0,Technology,nd,TR011
TRD002965,CP021,Bonnet SA,FR0000000031,2024-01-22,2024-01-24,derivative,1116847.37,29.5932,37740,29.5615,29.635,29.5983,2963199,12.14,BB,1,Financials,54.2,TR015
TRD005040,CP028,Maurice,FR0000000026,2024-04-01,2024-04-03,bond,1421461.21,88.295,16099,88.2367,88.33,88.2833,3536845,44.41,B,0,Consumer Discretionary,19.6,TR016
TRD003309,CP020,Foucher,FR0000000103,2024-02-16,2024-02-19,derivative,1656695.65,38.0456,43545,37.9775,38.0626,38.02,4137417,,AAA,0,Industrials,38.7,TR011
TRD007514,CP026,Menard S.A.,FR0000000019,2024-06-14,2024-06-17,derivative,146165.75,12.6179,11584,12.586,12.6341,12.6101,2500409,73.55,AA,0,Energy,9.1,TR010
TRD000422,CP031,Lebon et Fils,FR0000000129,2024-01-08,2024-01-10,Fixed Income,3131721.78,90.9961,34416,90.7064,91.1288,90.9176,834193,29.83,BBB,0,Utilities,37.0,TR017
TRD008450,CP033,Dupuy,FR0000000073,2024-01-10,2024-01-12,Fx,8476.69,1.1783,7194,1.177897,1.1798,1.1788,4605520,77.95,CCC,0,Consumer Discretionary,12.5,TR010
TRD005417,CP046,Boucher Charpentier SARL,FR0000000039,2024-01-02,2023-12-31,derivative,1873724.98,39.8945,46967,39.8698,39.902,39.8859,292958,14.52,BB,1,Healthcare,11.5,TR005
TRD005853,CP011,Traore,FR0000000018,2024-01-31,2024-02-02,FOREX,18463.45,1.4591,12654,1.457296,1.4611,1.4592,808301,24.29,CCC,0,Financials,40.8,TR004
TRD006168,CP036,Chevalier Lamy et Fils,FR0000000108,2024-05-24,2024-05-27,OPT,1213.07,5.5902,217,5.5774,5.5922,5.5848,4061070,72.52,BBB,0,Financials,71.3,TR007
TRD001091,CP041,Jacquot S.A.R.L.,FR0000000001,2024-02-28,2024-03-01,Derivative,326485.32,18.1633,17975,18.1304,18.1901,18.1603,1688210,81.53,B,0,Industrials,11.9,TR021
TRD000346,CP034,Fabre,FR0000000118,2024-06-28,2024-07-01,OPT,1321695.11,34.6211,38176,34.6159,34.635,34.6255,2214937,13.06,CCC,0,Consumer Discretionary,21.4,TR008
TRD001683,CP033,Dupuy,FR0000000109,2024-05-06,2024-05-08,EQUITY,13023689.87,266.3985,48888,266.24,266.6688,266.4544,650554,66.19,CCC,1,Consumer Discretionary,15.7,TR015
TRD001132,CP043,Noël S.A.R.L.,FR0000000069,2024-05-15,2024-05-17,equity,4073552.56,253.5038,16069,253.13,254.1809,253.6555,3992571,73.85,,0,Healthcare,41.7,TR016
TRD005266,CP011,Traore,FR0000000013,2024-01-31,2024-02-02,equity,13197718.77,361.4823,36510,361.18,362.9524,362.0662,1192937,8.41,CCC,0,Financials,34.1,TR008
TRD004690,CP023,Guillon Poulain et Fils,FR0000000071,2024-04-25,2024-04-29,equity,419600.66,249.7623,1680,249.3,249.9705,249.6352,3721298,66.44,D,0,Utilities,37.1,TR024
TRD001616,CP009,Dias Guillaume et Fils,FR0000000126,2024-04-29,2024-05-01,equity,10371473.29,371.2052,27940,371.01,372.6785,371.8442,896326,,A,0,Utilities,59.8,TR013
TRD006127,CP004,Paul Bertin SARL,FR0000000050,2024-01-04,2024-01-08,equity,10781589.77,509.1179,21177,508.78,509.9019,509.341,2579015,#N/A,BB,0,Healthcare,11.1,TR017
TRD003297,CP046,Boucher Charpentier SARL,FR0000000043,2024-04-08,2024-04-10,fx,17006.43,1.4091,12069,1.40634,1.4131,1.4097,633345,71.79,,0,Healthcare,13.0,TR022
TRD004996,CP021,Bonnet SA,FR0000000105,2024-05-20,2024-05-22,equity,23197013.66,578.0755,40128,576.96,578.3111,577.6355,3693239,26.47,,0,Financials,57.8,TR002
